"7513743","hectic","忙碌; (n.)","Things that are hectic tend to be happen quickly and all at once — that's why a hectic day makes people nervous."
"7513750","consecutive","連續; (adj.) 連貫的；連續不斷的"
"7513753","infotainment","信息娛樂; (n.) 娛樂信息節目（兼具教育及娛樂功能的電視節目，電影或書籍）"
"7513836","subterfuge","托詞; (n.) 托詞；藉口；詭計"
"7513923","rectory","教區長; (n.) 教區長的管區"
"7514707","Gothic","哥德式; (n.) 哥特式"
"7515526","dishevel","弄散亂; (vt.) 使蓬亂；使頭髮凌亂；弄亂"
"7516525","synagogue","會堂; (n.) 猶太教會堂；猶太人集會"
"7516530","affiliate","追溯···來源，子公司; (n.) 聯號；隸屬的機構等","the American broadcasting company NBC has hundreds of affiliate stations around the country."
"7516531","lambast","揍; (vt.) 鞭打, 狠打, 嚴厲責罵"
"7516532","castigated","痛罵; (vt.) 嚴懲；苛評；矯正；修訂"
"7516533","refrained","忍住; (vi.) 節制，克制；避免；制止"
"7516547","frenetic","狂熱的; (n.) 瘋子；狂人","frenetic shallowness"
"7517186","contemplation","沉思; (n.) 沉思；注視；意圖"
"7517190","chip away","鑿下碎片"
"7517192","oft-cited","經常被引用; (adj.) 經常引用的"
"7517195","finalist","決賽; (n.) 參加決賽的選手"
"7517196","stipulate","規定; (adj.) 有托葉的"
"7517197","clemency","寬大; (n.) 仁慈；溫和；寬厚","Say you're playing a role-playing game and you end up in one of the other player's dungeons. You could try begging her for clemency — compassion shown by people in power towards people who rebel or break the law."
"7517198","impassible","恝; (adj.) 不覺痛苦的；不能傷害的","as such arguments tend to open impassible rifts."
"7517200","vagary","奇思妙想; (n.) 奇想；奇特行為"
"7517201","fickle","薄情; (adj.) 浮躁的；易變的；變幻無常的"
"7517202","embryology","胚胎; (n.) [胚] 胚胎學"
"7517203","primal","原始; (n.) 被壓抑童年情緒的釋放"
"7517204","celestial","天上; (n.) 神仙，天堂裡的居民","The moon is a celestial body."
"7517205","warren","養兔場; (n.) 養兔場；大雜院；擁擠的地區"
"7517206","hellish","地獄般; (adj.) 地獄的；兇惡的；令人毛骨悚然的"
"7517207","retard","阻礙; (n.) 延遲；阻止"
"7517208","hindrance","阻力; (n.) 障礙；妨礙；妨害；阻礙物"
"7517209","ossature","骨架"
"7517210","borne","得緊; (v.) 忍受；負荷；結果實；生子女（bear的過去分詞）"
"7517211","conic","錐; (n.) 圓錐截面（等於conic section）"
"7517212","petulant","易怒的; (adj.) 暴躁的；任性的；難以取悅的"
"7517263","banal","平庸; (n.) (Banal)人名；(法、意)巴納爾"
"7517277","stance","姿態; (n.) 立場；姿態；位置；準備擊球姿勢","I have no stance in this philosophical debate."
"7517278","kludge","組裝機; (n.) 雜牌電腦，組裝機（等於kluge）"
"7517279","thwart","阻撓; (prep.) 橫過","A villain's worst nightmare is the superhero who always seems to thwart his efforts, preventing him from carrying out his plans to take over the world."
"7517280","hitch","拴住; (n.) 故障；鉤；猛拉；急推；蹣跚"
"7517281","hitch","a hidden problem ,拴住; (n.) 故障；鉤；猛拉；急推；蹣跚"
"7517282","epiphany","對事物真諦的頓悟；主顯節（每年一月六日紀念耶穌顯靈的節日）；顯現（特指神的顯現）"
"7517283","traject","(n.) 穿越；過渡航道"
"7517284","wayside","路邊; (n.) 路旁"
"7517287","honed","磨練; (adj.) 磨光的；亞光"
"7517288","nostalgic","懷舊的; (adj.) 懷舊的；鄉愁的"
"7517793","benefice","采邑; (n.) 聖俸；有俸聖職；僧侶之祿"
"7517795","ecclesiastical","教會; (adj.) 教會的；牧師的；神職的"
"7517796","witticism","妙語; (n.) 妙語；名言；俏皮話"
"7517797","banter","嘲笑; (n.) 無惡意的玩笑"
