"7222728","proverbial ","諺語; (adj.) 諺語的；眾所周知的；諺語式的"
"7222729","antecedent","前情; (n.) 前情；先行詞；祖先"
"7222735","watercooler","逃過"
"7222740","denigrate","詆毀; (vt.) 詆毀；使變黑；玷污"
"7222743","voluble","能言善辯; (adj.) 健談的；纏繞的；易旋轉的"
"7222745","deficient","匱乏; (adj.) 不足的；有缺陷的；不充分的"
"7222750","inadequate","不足; (adj.) 不充分的，不適當的"
"7222753","prone","易於; (adj.) 俯臥的；有…傾向的，易於…的"
"7222758","strive","努力; (vi.) 努力；奮鬥；抗爭"
"7222760","toddler","幼兒; (n.) 學步的小孩；幼童裝"
"7222761","meek","溫順; (adj.) 溫順的；謙恭的；馴服的"
"7222762","resemblance","相似; (n.) 相似；相似之處；相似物；肖像"
"7222764","tractor","拖拉機; (n.) 拖拉機；牽引機"
"7222765","heuristic","啟發式; (n.) 啟發式教育法"
"7222768","reliance","依賴; (n.) 信賴；信心；受信賴的人或物"
"7222769","adultery","通姦; (n.) 通姦，通姦行為"
"7222770","aphrodisiac","春藥; (n.) 春藥；催欲劑"
"7222771","transgression","愆; (n.) [地質] 海侵；犯罪；違反；逸出"
"7222772","assess","評估; (vt.) 評定；估價；對…徵稅"
"7222823","cognition","認識; (n.) 認識；知識；認識能力"
"7222824","salient","突出的; (n.) 凸角；突出部分"
"7222825","regime","政權; (n.) 政權，政體；社會制度；管理體制"
"7222826","exert","發揮; (vt.) 運用，發揮；施以影響","For example, when you exert yourself in a workout, you can really feel the burn in your muscles."
"7222827","arouse","引起; (vt.) 引起；喚醒；鼓勵"
"7222828","frenzies","熱火朝天; (n.) 狂暴；狂怒；暴怒"
"7222829","notably","特別是; (adv.) 顯著地；尤其"
"7222830","dogmatic","武斷的; (adj.) 教條的；武斷的"
"7222831","fecklessness","fecklessness; (n.) 徒勞；低效率；無能；不負責任"
"7222834","mediocre","平庸; (adj.) 普通的；平凡的；中等的"
"7222838","plausible","似是而非; (adj.) 貌似可信的，花言巧語的；貌似真實的，貌似有理的"
"7222841","susceptible","易感; (n.) 易得病的人"
"7222842","conform","符合; (adj.) 一致的；順從的"
"7222848","prospect","展望; (n.) 前途；預期；景色"
"7222852","ably","幹練; (adv.) 巧妙地；精明能乾地"
"7222853","pitch perfect","完美的作品"
"7222856","mythologic","mythologic; (adj.) 神話的"
"7222857","loom","; (n.) 織布機；若隱若現的景象"
"7222858","deliberation","審議; (n.) 審議；考慮；從容；熟思"
"7222866","trait","特徵; (n.) 特性，特點；品質；少許"
"7222867","disposition","性格; (n.) 處置；[心理] 性情；[軍] 部署；傾向"
"7222870","hindsight","事後; (n.) 後見之明；槍的照門"
"7222872","lure","餌; (n.) 誘惑；餌；誘惑物"
"7222876","deviate","偏離; (vi.) 脫離；越軌"
"7222881","strident","刺耳; (adj.) 刺耳的；尖銳的；吱吱尖叫的；軋軋作響的"
"7222882","strain","應變; (n.) 張力；拉緊；負擔；扭傷；血緣"
